aardvark,porco-da-terra,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
antelope,antílope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bass,robalo,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
bear,urso,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
boar,javali,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
buffalo,búfalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
calf,vitelo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
carp,carpa,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
catfish,bagre,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
cavy,porquinho-da-índia,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
cheetah,guepardo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
chicken,galinha,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
chub,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
clam,amêijoa,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
crab,carangueijo,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
crayfish,lagostim,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
crow,corvo,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
deer,veado,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dogfish,cachorra,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
dolphin,golfinho,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
dove,pomba,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
duck,pato,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
elephant,elefante,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
flamingo,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
flea,pulga,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
frog,sapo,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
fruitbat,morcego,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
giraffe,girafa,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
gnat,inseto,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
goat,cabra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
gorilla,gorila,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
gull,gaivota,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
haddock,hadoque,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
hamster,hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
hare,lebre,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
hawk,gavião,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
herring,arenque,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
honeybee,abelha,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
housefly,mosca doméstica,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
kiwi,quivi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
ladybird,joaninha,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
lark,cotovia,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
leopard,leopardo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,leão,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lobster,lagosta,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
lynx,lince,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
mink,doninha,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
mole,toupeiras,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
mongoose,mangusto,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
moth,mariposa,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
newt,tritão,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
octopus,polvos,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
opossum,marsupiais,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
oryx,Guelengue-do-deserto,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
ostrich,avestruz,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
parakeet,piriquito,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
penguin,pinguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
pheasant,faisão,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pike,lúcio,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
piranha,piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
pitviper,Crotalinae,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
platypus,ornitorrinco,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
polecat,mustela,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
